///key,index,,,
///FiltersCS,,,,
///中文,装备,增加属性（战）,增加属性（法）,增加属性（道）
///index,item,zhan,fa,dao
["鹤嘴锄"],鹤嘴锄,2^4|3^3|4^3,,
["木剑"],木剑,2^4|3^3|4^3,,
["匕首"],匕首,2^4|3^3|4^3,,
["青铜剑"],青铜剑,2^4|3^3|4^3,,
["短剑"],短剑,2^4|3^3|4^3,,
["铁剑"],铁剑,2^4|3^3|4^3,,
["青铜斧"],青铜斧,2^4|3^3|4^3,,
["八荒"],八荒,2^4|3^3|4^3,,
["凌风"],凌风,2^4|3^3|4^3,,
["斩马刀"],斩马刀,2^4|3^3|4^3,,
["凝霜"],凝霜,2^4|3^3|4^3,,
["修罗"],修罗,2^4|3^3|4^3,,
["炼狱"],炼狱,2^4|3^3|4^3,,
["乌木剑"],乌木剑,2^4|3^3|4^3,,
["海魂"],海魂,2^4|3^3|4^3,,
["偃月"],偃月,2^4|3^3|4^3,,
["半月"],半月,2^4|3^3|4^3,,
["破魂"],破魂,2^4|3^3|4^3,,
["降魔"],降魔,2^4|3^3|4^3,,
["银蛇"],银蛇,2^4|3^3|4^3,,
["布衣(男)"],布衣(男),2^4|3^3|4^3,,
["布衣(女)"],布衣(女),2^4|3^3|4^3,,
["轻型盔甲(男)"],轻型盔甲(男),2^4|3^3|4^3,,
["轻型盔甲(女)"],轻型盔甲(女),2^4|3^3|4^3,,
["中型盔甲(男)"],中型盔甲(男),2^4|3^3|4^3,,
["中型盔甲(女)"],中型盔甲(女),2^4|3^3|4^3,,
["重盔甲(男)"],重盔甲(男),2^4|3^3|4^3,,
["重盔甲(女)"],重盔甲(女),2^4|3^3|4^3,,
["魔法长袍(男)"],魔法长袍(男),2^4|3^3|4^3,,
["魔法长袍(女)"],魔法长袍(女),2^4|3^3|4^3,,
["灵魂战衣(男)"],灵魂战衣(男),2^4|3^3|4^3,,
["灵魂战衣(女)"],灵魂战衣(女),2^4|3^3|4^3,,
["青铜头盔"],青铜头盔,2^4|3^3|4^3,,
["魔法头盔"],魔法头盔,2^4|3^3|4^3,,
["道士头盔"],道士头盔,2^4|3^3|4^3,,
["兽皮腰带"],兽皮腰带,2^4|3^3|4^3,,
["布鞋"],布鞋,2^4|3^3|4^3,,
["金项链"],金项链,2^4|3^3|4^3,,
["传统项链"],传统项链,2^4|3^3|4^3,,
["黄色水晶项链"],黄色水晶项链,2^4|3^3|4^3,,
["黑檀项链"],黑檀项链,2^4|3^3|4^3,,
["黑色水晶项链"],黑色水晶项链,2^4|3^3|4^3,,
["魔鬼项链"],魔鬼项链,2^4|3^3|4^3,,
["琥珀项链"],琥珀项链,2^4|3^3|4^3,,
["白金项链"],白金项链,2^4|3^3|4^3,,
["凤凰明珠"],凤凰明珠,2^4|3^3|4^3,,
["灯笼项链"],灯笼项链,2^4|3^3|4^3,,
["白色虎齿项链"],白色虎齿项链,2^4|3^3|4^3,,
["竹笛"],竹笛,2^4|3^3|4^3,,
["放大镜"],放大镜,2^4|3^3|4^3,,
["蓝翡翠项链"],蓝翡翠项链,2^4|3^3|4^3,,
["铁手镯"],铁手镯,2^4|3^3|4^3,,
["小手镯"],小手镯,2^4|3^3|4^3,,
["皮制手套"],皮制手套,2^4|3^3|4^3,,
["银手镯"],银手镯,2^4|3^3|4^3,,
["钢手镯"],钢手镯,2^4|3^3|4^3,,
["魔法手镯"],魔法手镯,2^4|3^3|4^3,,
["大手镯"],大手镯,2^4|3^3|4^3,,
["坚固手套"],坚固手套,2^4|3^3|4^3,,
["魔力手镯"],魔力手镯,2^4|3^3|4^3,,
["金手镯"],金手镯,2^4|3^3|4^3,,
["黑檀手镯"],黑檀手镯,2^4|3^3|4^3,,
["道士手镯"],道士手镯,2^4|3^3|4^3,,
["死神手套"],死神手套,2^4|3^3|4^3,,
["古铜戒指"],古铜戒指,2^4|3^3|4^3,,
["六角戒指"],六角戒指,2^4|3^3|4^3,,
["玻璃戒指"],玻璃戒指,2^4|3^3|4^3,,
["牛角戒指"],牛角戒指,2^4|3^3|4^3,,
["蓝色水晶戒指"],蓝色水晶戒指,2^4|3^3|4^3,,
["黑色水晶戒指"],黑色水晶戒指,2^4|3^3|4^3,,
["生铁戒指"],生铁戒指,2^4|3^3|4^3,,
["蛇眼戒指"],蛇眼戒指,2^4|3^3|4^3,,
["珍珠戒指"],珍珠戒指,2^4|3^3|4^3,,
["金戒指"],金戒指,2^4|3^3|4^3,,
["魅力戒指"],魅力戒指,2^4|3^3|4^3,,
["道德戒指"],道德戒指,2^4|3^3|4^3,,
["骷髅戒指"],骷髅戒指,2^4|3^3|4^3,,
["降妖除魔戒指"],降妖除魔戒指,2^4|3^3|4^3,,
["珊瑚戒指"],珊瑚戒指,2^4|3^3|4^3,,
["灰色药粉(少量)"],灰色药粉(少量),2^4|3^3|4^3,,
["黄色药粉(少量)"],黄色药粉(少量),2^4|3^3|4^3,,
["灰色药粉(中量)"],灰色药粉(中量),2^4|3^3|4^3,,
["黄色药粉(中量)"],黄色药粉(中量),2^4|3^3|4^3,,
["灰色药粉(大量)"],灰色药粉(大量),2^4|3^3|4^3,,
["黄色药粉(大量)"],黄色药粉(大量),2^4|3^3|4^3,,
["超级黄色药粉"],超级黄色药粉,2^4|3^3|4^3,,
["超级灰色药粉"],超级灰色药粉,2^4|3^3|4^3,,
["护身符"],护身符,2^4|3^3|4^3,,
["护身符(大)"],护身符(大),2^4|3^3|4^3,,
["超级护身符"],超级护身符,2^4|3^3|4^3,,
["金创药(小量)"],金创药(小量),2^4|3^3|4^3,,
["魔法药(小量)"],魔法药(小量),2^4|3^3|4^3,,
["金创药(中量)"],金创药(中量),2^4|3^3|4^3,,
["魔法药(中量)"],魔法药(中量),2^4|3^3|4^3,,
["强效金创药"],强效金创药,2^4|3^3|4^3,,
["强效魔法药"],强效魔法药,2^4|3^3|4^3,,
["特效金创药"],特效金创药,2^4|3^3|4^3,,
["特效魔法药"],特效魔法药,2^4|3^3|4^3,,
["太阳水"],太阳水,2^4|3^3|4^3,,
["强效太阳水"],强效太阳水,2^4|3^3|4^3,,
["万年雪霜"],万年雪霜,2^4|3^3|4^3,,
["疗伤药"],疗伤药,2^4|3^3|4^3,,
["金创药(小)包"],金创药(小)包,2^4|3^3|4^3,,
["魔法药(小)包"],魔法药(小)包,2^4|3^3|4^3,,
["金创药(中)包"],金创药(中)包,2^4|3^3|4^3,,
["魔法药(中)包"],魔法药(中)包,2^4|3^3|4^3,,
["超级金创药"],超级金创药,2^4|3^3|4^3,,
["超级魔法药"],超级魔法药,2^4|3^3|4^3,,
["特效金创药包"],特效金创药包,2^4|3^3|4^3,,
["特效魔法药包"],特效魔法药包,2^4|3^3|4^3,,
["太阳水包"],太阳水包,2^4|3^3|4^3,,
["强效太阳水包"],强效太阳水包,2^4|3^3|4^3,,
["万年雪霜包"],万年雪霜包,2^4|3^3|4^3,,
["疗伤药包"],疗伤药包,2^4|3^3|4^3,,
