///key,index,,,,,,,,
///FiltersCS,,,,,,,,,
///中文,第几个活动,地图,坐标X,坐标Y,怪物名字,范围,数量,颜色,刷新记录
///index,type,map,x,y,mon,random,num,color,chance
1,1|1,d601,105,135,檀木宝箱,200,8,77,100
2,1|2,d601,189,114,白银宝箱,0,1,7,100
3,1|3,d601,74,110,骷髅王1,0,1,249,100
4,1|4,d601,105,135,骷髅王1,200,1,249,100
5,1|5,d602,112,106,虎卫,200,2,255,100
6,1|6,d602,112,106,邪恶钳虫2,200,15,250,100
7,1|7,d602,112,106,檀木宝箱,200,8,77,100
8,1|8,d602,46,28,白银宝箱,0,1,7,100
9,1|9,d602,118,175,酆都大帝2,0,1,249,100
10,1|10,d602,112,106,酆都大帝2,200,1,249,100
11,1|11,d604,94,85,虎卫,200,2,255,100
12,1|12,d604,94,85,邪恶钳虫3,200,15,250,100
13,1|13,d604,94,85,檀木宝箱,200,8,77,100
14,1|14,d604,93,85,白银宝箱,0,1,7,100
15,1|15,d604,33,41,妖眼魔树3,0,1,249,100
16,1|16,d604,94,85,妖眼魔树3,200,1,249,100
17,1|17,d603,115,131,檀木宝箱,200,8,77,100
18,1|18,d603,134,115,白银宝箱,0,1,7,100
19,1|19,d603,68,86,深渊魔神4,0,1,249,100
20,1|20,d603,115,131,深渊魔神4,200,1,249,100
21,1|21,d605,99,81,虎卫,200,1,255,100
22,1|22,d605,99,81,鹰卫,200,1,255,100
23,1|23,d605,99,81,邪恶钳虫5,200,15,250,100
24,1|24,d605,99,81,檀木宝箱,200,8,77,100
25,1|25,d605,90,74,白银宝箱,0,1,7,100
26,1|26,d605,122,31,牛魔王5,0,1,249,100
27,1|27,d605,99,81,牛魔王5,200,1,249,100
28,1|28,d613,49,49,檀木宝箱,100,8,77,100
29,1|29,d613,56,54,白银宝箱,0,1,7,100
30,1|30,d613,79,73,黄泉教主6,0,1,249,100
31,1|31,d613,49,49,黄泉教主6,100,1,249,100
32,1|32,d618,93,92,檀木宝箱,200,8,77,100
33,1|33,d618,162,49,白银宝箱,0,1,7,100
34,1|34,d618,26,188,魔龙教主7,0,1,249,100
35,1|35,d618,93,92,魔龙教主7,200,1,249,100
36,1|36,d606,91,111,檀木宝箱,200,8,77,100
37,1|37,d606,64,63,白银宝箱,0,1,7,100
38,1|38,d606,182,106,黄金宝箱,0,1,251,100
39,1|39,d606,78,170,触龙神8,0,1,249,100
40,1|40,d606,91,111,触龙神8,200,1,249,100
41,1|41,d606,140,129,暗之触龙神8,0,1,249,100
42,1|42,mishi1,24,17,邪恶钳虫1,25,3,250,100
43,1|43,mishi1,24,17,檀木宝箱,25,3,77,100
44,1|44,mishi1,24,17,白银宝箱,25,1,7,100
45,1|45,mishi1,24,17,骷髅王1,25,1,249,100
46,1|46,mishi1,24,17,暗之骷髅王1,25,1,249,50
47,1|47,mishi2,24,17,邪恶钳虫1,25,3,250,100
48,1|48,mishi2,24,17,檀木宝箱,25,3,77,100
49,1|49,mishi2,24,17,白银宝箱,25,1,7,100
50,1|50,mishi2,24,17,酆都大帝2,25,1,249,100
51,1|51,mishi2,24,17,暗之酆都大帝2,25,1,249,40
52,1|52,mishi3,24,17,邪恶钳虫1,25,3,250,100
53,1|53,mishi3,24,17,檀木宝箱,25,3,77,100
54,1|54,mishi3,24,17,白银宝箱,25,1,7,100
55,1|55,mishi3,24,17,妖眼魔树3,25,1,249,100
56,1|56,mishi3,24,17,暗之妖眼魔树3,25,1,249,30
57,1|57,mishi4,24,17,邪恶钳虫1,25,3,250,100
58,1|58,mishi4,24,17,檀木宝箱,25,3,77,100
59,1|59,mishi4,24,17,白银宝箱,25,1,7,100
60,1|60,mishi4,24,17,深渊魔神4,25,1,249,100
61,1|61,mishi4,24,17,暗之深渊魔神4,25,1,249,20
62,1|62,mishi5,24,17,邪恶钳虫1,25,3,250,100
63,1|63,mishi5,24,17,檀木宝箱,25,3,77,100
64,1|64,mishi5,24,17,白银宝箱,25,1,7,100
65,1|65,mishi5,24,17,牛魔王5,25,1,249,100
66,1|66,mishi5,24,17,暗之牛魔王5,25,1,249,20
67,1|67,mishi6,24,17,邪恶钳虫1,25,3,250,100
68,1|68,mishi6,24,17,檀木宝箱,25,3,77,100
69,1|69,mishi6,24,17,白银宝箱,25,1,7,100
70,1|70,mishi6,24,17,黄泉教主6,25,1,249,100
71,1|71,mishi6,24,17,暗之黄泉教主6,25,1,249,20
72,1|72,mishi7,24,17,邪恶钳虫1,25,3,250,100
73,1|73,mishi7,24,17,檀木宝箱,25,3,77,100
74,1|74,mishi7,24,17,白银宝箱,25,1,7,100
75,1|75,mishi7,24,17,魔龙教主7,25,1,249,100
76,1|76,mishi7,24,17,暗之魔龙教主7,25,1,249,20
77,1|77,mishi8,24,17,邪恶钳虫1,25,3,250,100
78,1|78,mishi8,24,17,檀木宝箱,25,3,77,100
79,1|79,mishi8,24,17,白银宝箱,25,1,7,100
80,1|80,mishi8,24,17,触龙神1,25,1,249,100
81,1|81,mishi8,24,17,暗之触龙神1,25,1,249,20
