///key,index,,,,,
///FiltersCS,,,,,,
///中文,类型,名字,属性,属性描述,套装属性,套装属性描述
///index,type,name,attr,attrName,suit,suitName
1,3|1|1,凝露草,1^2,生命,235^1,生命+1%
2,3|1|2,芭蕉叶,1^2,生命,,
3,3|1|3,赤炎藤,1^2,生命,,
4,3|1|4,蒲公英,1^2,生命,,
5,3|1|5,通幽兰,1^2,生命,,
6,3|1|6,蛇信草,1^2,生命,,
7,3|1|7,灵火枫,1^2,生命,,
8,3|1|8,攀星枝,1^2,生命,,
9,3|2|1,地心幽莲,1^5,生命,235^2,生命+2%
10,3|2|2,星辰泪兰,1^5,生命,,
11,3|2|3,冰火神果,1^5,生命,,
12,3|2|4,幻心绿萝,1^5,生命,,
13,3|2|5,虚空莲子,1^5,生命,,
14,3|2|6,悟道茶树,1^5,生命,,
15,3|2|7,千年人参,1^5,生命,,
16,3|3|1,九叶还魂草,1^10,生命,235^5,生命+5%
17,3|3|2,冰晶雪魄花,1^10,生命,,
18,3|3|3,龙血菩提藤,1^10,生命,,
19,3|3|4,幽冥彼岸花,1^10,生命,,
20,3|3|5,七窍通神花,1^10,生命,,
21,3|4|1,天道之果,1^50,生命,235^10,生命+10%
22,3|4|2,地道之果,1^50,生命,,
23,3|4|3,人道之果,1^50,生命,,
24,1|1|1,魔猿冠,211^1,对怪切割,211^10,对怪切割+10
25,1|1|2,狡犬齿,211^1,对怪切割,,
26,1|1|3,天蛛网,211^1,对怪切割,,
27,1|1|4,苍狼爪,211^1,对怪切割,,
28,1|1|5,神鹿首,211^1,对怪切割,,
29,1|1|6,灵龟甲,211^1,对怪切割,,
30,1|1|7,冰龙首,211^1,对怪切割,,
31,1|2|1,乘黄脊骨,211^2,对怪切割,211^20,对怪切割+20
32,1|2|2,鲲鹏遗珠,211^2,对怪切割,,
33,1|2|3,巴蛇蜕皮,211^2,对怪切割,,
34,1|2|4,柔骨兔耳,211^2,对怪切割,,
35,1|2|5,夫诸利爪,211^2,对怪切割,,
36,1|2|6,赤沙蝎尾,211^2,对怪切割,,
37,1|3|1,饕餮之胃,211^5,对怪切割,211^50,对怪切割+50
38,1|3|2,穷奇之翼,211^5,对怪切割,,
39,1|3|3,混沌之窍,211^5,对怪切割,,
40,1|3|4,梼杌之心,211^5,对怪切割,,
41,1|3|5,獬豸之角,211^5,对怪切割,,
42,1|3|6,重明之瞳,211^5,对怪切割,,
43,1|4|1,青龙圣兽印,211^20,对怪切割,211^100,对怪切割+100
44,1|4|2,白虎圣兽印,211^20,对怪切割,,
45,1|4|3,朱雀圣兽印,211^20,对怪切割,,
46,1|4|4,玄武圣兽印,211^20,对怪切割,,
47,2|1|1,火云水炎,229^1,背包负重,235^1,爆率+1%
48,2|1|2,火山石焰,229^1,背包负重,,
49,2|1|3,风怒龙炎,229^1,背包负重,,
50,2|1|4,青莲地心火,229^1,背包负重,,
51,2|1|5,幽冥毒火,229^1,背包负重,,
52,2|1|6,阴阳双炎,229^1,背包负重,,
53,2|1|7,万兽灵火,229^1,背包负重,,
54,2|1|8,玄黃炎,229^1,背包负重,,
55,2|2|1,三千焱炎火,229^1,背包负重,235^2,爆率+2%
56,2|2|2,九幽风炎,229^1,背包负重,,
57,2|2|3,骨灵冷火,229^1,背包负重,,
58,2|2|4,九龙雷罡火,229^1,背包负重,,
59,2|2|5,龟灵地火,229^1,背包负重,,
60,2|2|6,陨落心炎,229^1,背包负重,,
61,2|2|7,海心焰,229^1,背包负重,,
62,2|3|1,金帝焚天炎,232^1,移动速度,235^5,爆率+5%
63,2|3|2,生灵之焱,232^1,移动速度,,
64,2|3|3,八荒破灭焱,232^1,移动速度,,
65,2|3|4,九幽金祖火,232^1,移动速度,,
66,2|3|5,红莲业火,232^1,移动速度,,
67,2|4|1,帝炎,216^1,攻击速度,235^10,爆率+10%
68,2|4|2,虚无吞炎,216^1,攻击速度,,
69,2|4|3,净莲妖火,216^1,攻击速度,,
