///key,index,,
///FiltersCS,,,
///中文,装备,类型（1武器，2衣服，3头盔，4项链，5手镯，6戒指，7药品）,买价格
///index,item,type,buy
1,沃玛武器(1级),1|1,金币|5000
2,祖玛武器(2级),1|2,金币|20000
3,赤月武器(3级),1|3,金币|50000
4,魔龙武器(4级),1|4,金币|100000
5,沃玛衣服(1级),2|1,金币|5000
6,祖玛衣服(2级),2|2,金币|20000
7,赤月衣服(3级),2|3,金币|50000
8,魔龙衣服(4级),2|4,金币|100000
9,沃玛头盔(1级),3|1,金币|2500
10,祖玛头盔(2级),3|2,金币|10000
11,赤月头盔(3级),3|3,金币|25000
12,魔龙头盔(4级),3|4,金币|30000
13,沃玛项链(1级),4|1,金币|5000
14,祖玛项链(2级),4|2,金币|20000
15,赤月项链(3级),4|3,金币|50000
16,魔龙项链(4级),4|4,金币|100000
17,沃玛手镯(1级),5|1,金币|5000
18,祖玛手镯(2级),5|2,金币|20000
19,赤月手镯(3级),5|3,金币|50000
20,魔龙手镯(4级),5|4,金币|100000
21,沃玛戒指(1级),6|1,金币|5000
22,祖玛戒指(2级),6|2,金币|20000
23,赤月戒指(3级),6|3,金币|50000
24,魔龙戒指(4级),6|4,金币|100000
25,魔血石(1级),7|1,金币|20000
26,魔血石(2级),7|2,金币|50000
27,魔血石(3级),7|3,金币|100000
28,沃玛腰带(1级),7|4,金币|2500
29,沃玛鞋子(1级),7|5,金币|2500
30,祖玛腰带(2级),7|6,金币|10000
31,祖玛鞋子(2级),7|7,金币|10000
32,赤月腰带(3级),7|8,金币|25000
33,赤月鞋子(3级),7|9,金币|25000
34,魔龙腰带(4级),7|10,金币|30000
35,魔龙鞋子(4级),7|11,金币|30000
