///key,index,,
///FiltersCS,,,
///中文,装备,出售价格,导表专用
///index,item,sell,xx
["沃玛武器(1级)"],,金币|2500,
["祖玛武器(2级)"],,金币|10000,
["赤月武器(3级)"],,金币|25000,
["魔龙武器(4级)"],,金币|50000,
["战神武器(5级)"],,金币|100000,
["星王武器(6级)"],,金币|200000,
["雷炎武器(7级)"],,金币|500000,
["沃玛衣服(1级)"],,金币|2500,
["祖玛衣服(2级)"],,金币|10000,
["赤月衣服(3级)"],,金币|25000,
["魔龙衣服(4级)"],,金币|50000,
["战神衣服(5级)"],,金币|100000,
["星王衣服(6级)"],,金币|200000,
["雷炎衣服(7级)"],,金币|500000,
["沃玛头盔(1级)"],,金币|1250,
["祖玛头盔(2级)"],,金币|5000,
["赤月头盔(3级)"],,金币|12500,
["魔龙头盔(4级)"],,金币|15000,
["战神头盔(5级)"],,金币|50000,
["星王头盔(6级)"],,金币|100000,
["雷炎头盔(7级)"],,金币|250000,
["沃玛项链(1级)"],,金币|2500,
["祖玛项链(2级)"],,金币|10000,
["赤月项链(3级)"],,金币|25000,
["魔龙项链(4级)"],,金币|50000,
["战神项链(5级)"],,金币|100000,
["星王项链(6级)"],,金币|200000,
["雷炎项链(7级)"],,金币|500000,
["沃玛手镯(1级)"],,金币|2500,
["祖玛手镯(2级)"],,金币|10000,
["赤月手镯(3级)"],,金币|25000,
["魔龙手镯(4级)"],,金币|50000,
["战神手镯(5级)"],,金币|100000,
["星王手镯(6级)"],,金币|200000,
["雷炎手镯(7级)"],,金币|500000,
["沃玛戒指(1级)"],,金币|2500,
["祖玛戒指(2级)"],,金币|10000,
["赤月戒指(3级)"],,金币|25000,
["魔龙戒指(4级)"],,金币|50000,
["战神戒指(5级)"],,金币|100000,
["星王戒指(6级)"],,金币|200000,
["雷炎戒指(7级)"],,金币|500000,
["魔血石(1级)"],,金币|10000,
["魔血石(2级)"],,金币|25000,
["魔血石(3级)"],,金币|50000,
["魔血石(4级)"],,金币|250000,
["魔血石(5级)"],,金币|500000,
["沃玛腰带(1级)"],,金币|1250,
["沃玛鞋子(1级)"],,金币|1250,
["祖玛腰带(2级)"],,金币|5000,
["祖玛鞋子(2级)"],,金币|5000,
["赤月腰带(3级)"],,金币|12500,
["赤月鞋子(3级)"],,金币|12500,
["魔龙腰带(4级)"],,金币|15000,
["魔龙鞋子(4级)"],,金币|15000,
["战神腰带(5级)"],,金币|50000,
["战神鞋子(5级)"],,金币|50000,
["星王腰带(6级)"],,金币|100000,
