///key,index,,,
///FiltersCS,,,,
///中文,第几个活动,名字,需要消耗,获得数量
///index,type,name,need,num
1,1|1,背包,红色灵羽^1|金币^10000,47
2,1|2,背包,红色灵羽^1|金币^10000,48
3,1|3,背包,红色灵羽^1|金币^10000,49
4,1|4,背包,红色灵羽^1|金币^10000,50
5,1|5,背包,红色灵羽^1|金币^10000,51
6,1|6,背包,红色灵羽^1|金币^10000,52
7,1|7,背包,红色灵羽^1|金币^10000,53
8,1|8,背包,红色灵羽^1|金币^10000,54
9,1|9,背包,红色灵羽^1|金币^10000,55
10,1|10,背包,红色灵羽^1|金币^10000,56
11,1|11,背包,红色灵羽^2|金币^20000,57
12,1|12,背包,红色灵羽^2|金币^20000,58
13,1|13,背包,红色灵羽^2|金币^20000,59
14,1|14,背包,红色灵羽^2|金币^20000,60
15,1|15,背包,红色灵羽^2|金币^20000,61
16,1|16,背包,红色灵羽^2|金币^20000,62
17,1|17,背包,红色灵羽^2|金币^20000,63
18,1|18,背包,红色灵羽^2|金币^20000,64
19,1|19,背包,红色灵羽^2|金币^20000,65
20,1|20,背包,红色灵羽^2|金币^20000,66
21,1|21,背包,红色灵羽^3|金币^30000,67
22,1|22,背包,红色灵羽^3|金币^30000,68
23,1|23,背包,红色灵羽^3|金币^30000,69
24,1|24,背包,红色灵羽^3|金币^30000,70
25,1|25,背包,红色灵羽^3|金币^30000,71
26,1|26,背包,红色灵羽^3|金币^30000,72
27,1|27,背包,红色灵羽^3|金币^30000,73
28,1|28,背包,红色灵羽^3|金币^30000,74
29,1|29,背包,红色灵羽^3|金币^30000,75
30,1|30,背包,红色灵羽^3|金币^30000,76
31,1|31,背包,红色灵羽^4|金币^40000,77
32,1|32,背包,红色灵羽^4|金币^40000,78
33,1|33,背包,红色灵羽^4|金币^40000,79
34,1|34,背包,红色灵羽^4|金币^40000,80
35,1|35,背包,红色灵羽^4|金币^40000,81
36,1|36,背包,红色灵羽^4|金币^40000,82
37,1|37,背包,红色灵羽^4|金币^40000,83
38,1|38,背包,红色灵羽^4|金币^40000,84
39,1|39,背包,红色灵羽^4|金币^40000,85
40,1|40,背包,红色灵羽^4|金币^40000,86
41,1|41,背包,红色灵羽^5|金币^50000,87
42,1|42,背包,红色灵羽^5|金币^50000,88
43,1|43,背包,红色灵羽^5|金币^50000,89
44,1|44,背包,红色灵羽^5|金币^50000,90
45,1|45,背包,红色灵羽^5|金币^50000,91
46,1|46,背包,红色灵羽^5|金币^50000,92
47,1|47,背包,红色灵羽^5|金币^50000,93
48,1|48,背包,红色灵羽^5|金币^50000,94
49,1|49,背包,红色灵羽^5|金币^50000,95
50,1|50,背包,红色灵羽^5|金币^50000,96
51,1|51,背包,红色灵羽^6|金币^60000,97
52,1|52,背包,红色灵羽^6|金币^60000,98
53,1|53,背包,红色灵羽^6|金币^60000,99
54,1|54,背包,红色灵羽^6|金币^60000,100
55,1|55,背包,红色灵羽^6|金币^60000,101
56,1|56,背包,红色灵羽^6|金币^60000,102
57,1|57,背包,红色灵羽^6|金币^60000,103
58,1|58,背包,红色灵羽^6|金币^60000,104
59,1|59,背包,红色灵羽^6|金币^60000,105
60,1|60,背包,红色灵羽^6|金币^60000,106
61,1|61,背包,红色灵羽^7|金币^70000,107
62,1|62,背包,红色灵羽^7|金币^70000,108
63,1|63,背包,红色灵羽^7|金币^70000,109
64,1|64,背包,红色灵羽^7|金币^70000,110
65,1|65,背包,红色灵羽^7|金币^70000,111
66,1|66,背包,红色灵羽^7|金币^70000,112
67,1|67,背包,红色灵羽^7|金币^70000,113
68,1|68,背包,红色灵羽^7|金币^70000,114
69,1|69,背包,红色灵羽^7|金币^70000,115
70,1|70,背包,红色灵羽^7|金币^70000,116
71,1|71,背包,红色灵羽^8|金币^80000,117
72,1|72,背包,红色灵羽^8|金币^80000,118
73,1|73,背包,红色灵羽^8|金币^80000,119
74,1|74,背包,红色灵羽^8|金币^80000,120
75,1|75,背包,红色灵羽^8|金币^80000,121
76,1|76,背包,红色灵羽^8|金币^80000,122
77,1|77,背包,红色灵羽^8|金币^80000,123
78,1|78,背包,红色灵羽^8|金币^80000,124
79,1|79,背包,红色灵羽^8|金币^80000,125
80,1|80,背包,红色灵羽^8|金币^80000,126
81,2|1,仓库,绿色灵羽^5|金币^50000,49
82,2|2,仓库,绿色灵羽^5|金币^50000,50
83,2|3,仓库,绿色灵羽^5|金币^50000,51
84,2|4,仓库,绿色灵羽^5|金币^50000,52
85,2|5,仓库,绿色灵羽^5|金币^50000,53
86,2|6,仓库,绿色灵羽^10|金币^100000,54
87,2|7,仓库,绿色灵羽^10|金币^100000,55
88,2|8,仓库,绿色灵羽^10|金币^100000,56
89,2|9,仓库,绿色灵羽^10|金币^100000,57
90,2|10,仓库,绿色灵羽^10|金币^100000,58
91,2|11,仓库,绿色灵羽^20|金币^200000,59
92,2|12,仓库,绿色灵羽^20|金币^200000,60
93,2|13,仓库,绿色灵羽^20|金币^200000,61
94,2|14,仓库,绿色灵羽^20|金币^200000,62
