///key,index,,,,,,,,,
///FiltersCS,,,,,,,,,,
///中文,第几个活动,NPC ID,地图,坐标X,坐标Y,npc名字,范围,数量,颜色,刷新记录
///index,type,npc,map,x,y,mon,random,num,color,chance
1,1|1,10001,d601,105,135,檀木宝箱1,200,8,77,0
2,1|2,10002,d601,189,114,白银宝箱1,0,1,7,0
7,1|3,10003,d602,112,106,檀木宝箱2,200,8,77,0
8,1|4,10004,d602,46,28,白银宝箱2,0,1,7,0
13,1|5,10005,d604,94,85,檀木宝箱3,200,8,77,0
14,1|6,10006,d604,93,85,白银宝箱3,0,1,7,0
17,1|7,10007,d603,115,131,檀木宝箱4,200,8,77,0
18,1|8,10008,d603,134,115,白银宝箱4,0,1,7,0
24,1|9,10009,d605,99,81,檀木宝箱5,200,8,77,0
25,1|10,10010,d605,90,74,白银宝箱5,0,1,7,0
28,1|11,10011,d613,49,49,檀木宝箱6,100,8,77,0
29,1|12,10012,d613,56,54,白银宝箱6,0,1,7,0
32,1|13,10013,d618,93,92,檀木宝箱7,200,8,77,0
33,1|14,10014,d618,162,49,白银宝箱7,0,1,7,0
36,1|15,10015,d606,91,111,檀木宝箱8,200,8,77,0
37,1|16,10016,d606,64,63,白银宝箱8,0,1,7,0
38,1|17,10017,d606,182,106,黄金宝箱9,0,1,251,0
43,1|18,10018,mishi1,24,17,檀木宝箱9,25,3,77,0
44,1|19,10019,mishi1,24,17,白银宝箱10,25,1,7,0
48,1|20,10020,mishi2,24,17,檀木宝箱10,25,3,77,0
49,1|21,10021,mishi2,24,17,白银宝箱11,25,1,7,0
53,1|22,10022,mishi3,24,17,檀木宝箱11,25,3,77,0
54,1|23,10023,mishi3,24,17,白银宝箱12,25,1,7,0
58,1|24,10024,mishi4,24,17,檀木宝箱12,25,3,77,0
59,1|25,10025,mishi4,24,17,白银宝箱13,25,1,7,0
63,1|26,10026,mishi5,24,17,檀木宝箱13,25,3,77,0
64,1|27,10027,mishi5,24,17,白银宝箱14,25,1,7,0
68,1|28,10028,mishi6,24,17,檀木宝箱14,25,3,77,0
69,1|29,10029,mishi6,24,17,白银宝箱15,25,1,7,0
73,1|30,10030,mishi7,24,17,檀木宝箱15,25,3,77,0
74,1|31,10031,mishi7,24,17,白银宝箱16,25,1,7,0
78,1|32,10032,mishi8,24,17,檀木宝箱16,25,3,77,0
79,1|33,10033,mishi8,24,17,白银宝箱17,25,1,7,0
